;seq_name;V1;V2;center_seq_name;eukref_env_biome;eukref_geo_loc_name;eukref_notes;gb_isolation_source;pr2_ocean;gb_lat_lon;pr2_ecosystem;pr2_habitat;gb_publication
371;DQ103811_1_1420_U_Aplanochytrium_sp;S;420;DQ103811_1_1420_U_Aplanochytrium_sp;NA;NA;NA;anoxic Mariager Fjord;NA;NA;coastal;water;NA
372;DQ104585_1_1242_U_Amphifilaceae_X_sp;S;534;DQ104585_1_1242_U_Amphifilaceae_X_sp;NA;NA;NA;Snake River Plain Aquifer;NA;NA;freshwater river;water;Eukaryotic Diversity in Planktonic and Biofilm Populations Within the Subsurface of the Snake River Plain Aquifer
373;DQ104600_1_1261_U_Amphifilaceae_X_sp;S;526;DQ104600_1_1261_U_Amphifilaceae_X_sp;NA;NA;NA;Snake River Plain Aquifer;NA;NA;freshwater river;water;Eukaryotic Diversity in Planktonic and Biofilm Populations Within the Subsurface of the Snake River Plain Aquifer
374;DQ104602_1_1279_U_Amphifilaceae_X_sp;S;519;DQ104602_1_1279_U_Amphifilaceae_X_sp;NA;NA;NA;Snake River Plain Aquifer;NA;NA;freshwater river;water;Eukaryotic Diversity in Planktonic and Biofilm Populations Within the Subsurface of the Snake River Plain Aquifer
375;DQ160193_1721_1_U_Schizochytrium_sp;H;184;DQ023610_1_1721_U_Schizochytrium_sp;NA;NA;NA;NA;NA;NA;mangrove;leaves;Thraustochytrids from fallen leaves along the Eastern coast of the Gulf of Thailand
376;DQ310278_1_1818_U_Labyrinthulomycetes_LAB6_sp;S;20;DQ310278_1_1818_U_Labyrinthulomycetes_LAB6_sp;NA;NA;NA;super-sulfidic anoxic fjord water samples;NA;NA;coastal;water;NA
377;DQ367045_1_1672_U_Aplanochytrium_sp;H;33;KJ761355_1_1806_U_Aplanochytrium_sp;NA;NA;NA;NA;NA;NA;;annelids;Labyrinthulomycetes phylogeny and its implications for the evolutionary loss of chloroplasts and gain of ectoplasmic gliding
378;DQ367046_1_1695_U_Oblongichytrium_sp;S;227;DQ367046_1_1695_U_Oblongichytrium_sp;NA;NA;NA;NA;NA;NA;;annelids;Labyrinthulomycetes phylogeny and its implications for the evolutionary loss of chloroplasts and gain of ectoplasmic gliding
379;DQ367047_1_1644_U_Oblongichytrium_sp;H;45;AB022111_1_1796_U_Oblongichytrium_sp;NA;NA;NA;NA;NA;NA;;echinoderms;Labyrinthulomycetes phylogeny and its implications for the evolutionary loss of chloroplasts and gain of ectoplasmic gliding
380;DQ367048_1_1757_U_Oblongichytrium_sp;H;44;FJ821481_1_1797_U_Oblongichytrium_sp;NA;NA;NA;NA;NA;NA;;;Labyrinthulomycetes phylogeny and its implications for the evolutionary loss of chloroplasts and gain of ectoplasmic gliding
381;DQ367049_1_1752_U_Aurantiochytrium_mangrovei;S;125;DQ367049_1_1752_U_Aurantiochytrium_mangrovei;NA;NA;NA;NA;NA;NA;mangrove;leaves;Labyrinthulomycetes phylogeny and its implications for the evolutionary loss of chloroplasts and gain of ectoplasmic gliding
382;DQ367050_1_1733_U_Schizochytrium_sp;H;84;JTFK01001422_1686_3457_U_Schizochytrium_sp;NA;NA;NA;NA;NA;NA;oceanic;seawater;Labyrinthulomycetes phylogeny and its implications for the evolutionary loss of chloroplasts and gain of ectoplasmic gliding
383;DQ367051_1_1706_U_Thraustochytriaceae_X_sp;S;209;DQ367051_1_1706_U_Thraustochytriaceae_X_sp;NA;NA;NA;NA;NA;NA;;annelids;Labyrinthulomycetes phylogeny and its implications for the evolutionary loss of chloroplasts and gain of ectoplasmic gliding
384;DQ367052_1_1606_U_Aurantiochytrium_sp;H;58;FJ821497_1_1787_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;echinoderms;Labyrinthulomycetes phylogeny and its implications for the evolutionary loss of chloroplasts and gain of ectoplasmic gliding
385;DQ367053_1_1705_U_Thraustochytrium_kinnei;H;152;DQ459552_1_1737_U_Thraustochytrium_kinnei;NA;NA;NA;NA;NA;NA;;echinoderms;Labyrinthulomycetes phylogeny and its implications for the evolutionary loss of chloroplasts and gain of ectoplasmic gliding
386;DQ374149_1_1723_U_Thraustochytriaceae_X_sp;H;109;HL196857_1_1761_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;Isolation and characterization of polyunsaturated fatty acid producing Thraustochytrium species: screening of strains and optimization of omega-3 production
387;DQ403202_1_1756_U_Aphanomyces_invadans;S;118;DQ403202_1_1756_U_Aphanomyces_invadans;NA;NA;NA;cultured from lesions excised from Mugil gyrans;NA;NA;estuary;fish;Aphanomyces invadans and Ulcerative Mycosis in Estuarine and
388;DQ459550_1_1690_U_Oblongichytrium_sp;S;232;DQ459550_1_1690_U_Oblongichytrium_sp;NA;NA;NA;NA;NA;NA;coastal;;Identification of thraustochytrids for the production of docosahexaenoic acid: use of the 18S rDNA sequence
389;DQ459551_1_627_U_Oblongichytrium_sp;S;846;DQ459551_1_627_U_Oblongichytrium_sp;NA;Chile: Puerto Montt, Llanquihue;NA;NA;NA;NA;coastal;;Identification of thraustochytrids for the production of docosahexaenoic acid: use of the 18S rDNA sequence
390;DQ459552_1_1737_U_Thraustochytrium_kinnei;S;152;DQ459552_1_1737_U_Thraustochytrium_kinnei;NA;NA;NA;NA;NA;NA;coastal;;Identification of thraustochytrids for the production of docosahexaenoic acid: use of the 18S rDNA sequence
391;DQ459554_1_573_U_Labyrinthulaceae_G41_sp;S;913;DQ459554_1_573_U_Labyrinthulaceae_G41_sp;NA;Chile: Bahia Puerto Montt, Huito;NA;NA;NA;NA;coastal;;Identification of thraustochytrids for the production of docosahexaenoic acid: use of the 18S rDNA sequence
392;DQ459555_1_630_U_Aplanochytrium_sp;S;844;DQ459555_1_630_U_Aplanochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;;Identification of thraustochytrids for the production of docosahexaenoic acid: use of the 18S rDNA sequence
393;DQ459556_1_1258_U_Aurantiochytrium_sp;S;527;DQ459556_1_1258_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;;Identification of thraustochytrids for the production of docosahexaenoic acid: use of the 18S rDNA sequence
394;DQ525181_1_1911_U_Schizochytrium_sp;S;3;DQ525181_1_1911_U_Schizochytrium_sp;NA;NA;NA;NA;NA;NA;;;Production of polyunsaturated fatty acids from Schizochytrium sp. PJ10.4 isolated in Thailand
395;DQ641204_1_1746_U_Thraustochytriaceae_QPX_sp;H;49;AF261664_1_1794_U_Thraustochytriaceae_QPX_sp;NA;NA;NA;NA;NA;NA;;;NA
396;DQ834734_1_1904_U_Thraustochytriaceae_X_sp;S;4;DQ834734_1_1904_U_Thraustochytriaceae_X_sp;NA;NA;NA;mangrove forest;NA;NA;mangrove;;Direct Submission
397;DQ834735_1_1948_U_Thraustochytriaceae_X_sp;S;2;DQ834735_1_1948_U_Thraustochytriaceae_X_sp;NA;NA;NA;mangrove forest;NA;NA;mangrove;;Direct Submission
398;DQ836627_1_1637_U_Thraustochytrium_aureum;H;29;AB022110_1_1807_U_Thraustochytrium_aureum;NA;NA;NA;NA;NA;NA;coastal;water;Endogenously synthesized (-)-proto-quercitol and glycine betaine are principal compatible solutes of Schizochytrium sp. strain S8 (ATCC 20889) and three new isolates of phylogenetically related thraustochytrids
399;DQ836628_1_1554_U_Aurantiochytrium_sp;H;234;KP792759_1_1689_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Endogenously synthesized (-)-proto-quercitol and glycine betaine are principal compatible solutes of Schizochytrium sp. strain S8 (ATCC 20889) and three new isolates of phylogenetically related thraustochytrids
400;DQ836629_1_1595_U_Aurantiochytrium_sp;H;234;KP792759_1_1689_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Endogenously synthesized (-)-proto-quercitol and glycine betaine are principal compatible solutes of Schizochytrium sp. strain S8 (ATCC 20889) and three new isolates of phylogenetically related thraustochytrids
401;DQ836630_1_1551_U_Aurantiochytrium_sp;H;87;FJ821482_1_1770_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Endogenously synthesized (-)-proto-quercitol and glycine betaine are principal compatible solutes of Schizochytrium sp. strain S8 (ATCC 20889) and three new isolates of phylogenetically related thraustochytrids
402;DQ836631_1_1577_U_Aurantiochytrium_sp;H;87;FJ821482_1_1770_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Endogenously synthesized (-)-proto-quercitol and glycine betaine are principal compatible solutes of Schizochytrium sp. strain S8 (ATCC 20889) and three new isolates of phylogenetically related thraustochytrids
403;DQ918478_1_550_U_Labyrinthulomycetes_LAB15_X_sp;S;929;DQ918478_1_550_U_Labyrinthulomycetes_LAB15_X_sp;marine, water;Atlantic Ocean: western North Atlantic, deep-sea;"seawater; sample collection depth: 2500 m";"seawater; sample collection depth: 2500m";NA;34.6667 N 69.3000 W;deep_sea;water;Distinct protistan assemblages characterize the euphotic zone and deep sea (2500 m) of the western North Atlantic (Sargasso Sea and Gulf Stream)
404;DQ918581_1_513_U_Labyrinthulomycetes_LAB12_X_sp;S;976;DQ918581_1_513_U_Labyrinthulomycetes_LAB12_X_sp;marine, water;Atlantic Ocean: western North Atlantic, deep-sea;"seawater; sample collection depth: 2500 m";"seawater; sample collection depth: 2500m";NA;34.6667 N 69.3000 W;deep_sea;water;Distinct protistan assemblages characterize the euphotic zone and deep sea (2500 m) of the western North Atlantic (Sargasso Sea and Gulf Stream)
405;DQ918760_1_517_U_Labyrinthulomycetes_LAB15_X_sp;H;28;KJ763928_1_1808_U_Labyrinthulomycetes_LAB15_X_sp;NA;NA;NA;"seawater; sample collection depth: 15 mand 105 m";NA;34.7325 N 73.9468 W;oceanic;water;Distinct protistan assemblages characterize the euphotic zone and deep sea (2500 m) of the western North Atlantic (Sargasso Sea and Gulf Stream)
406;EF023208_1_1805_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
407;EF023208_1_1805_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
408;EF023208_1_1805_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
409;EF023208_1_1805_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
410;EF023338_1_1806_U_Amphifilaceae_X_sp;S;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
411;EF023338_1_1806_U_Amphifilaceae_X_sp;S;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
412;EF023338_1_1806_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
413;EF023338_1_1806_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
414;EF023442_1_1807_U_Amphifilaceae_X_sp;S;30;EF023442_1_1807_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
415;EF023442_1_1807_U_Amphifilaceae_X_sp;S;30;EF023442_1_1807_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
416;EF023442_1_1807_U_Amphifilaceae_X_sp;H;30;EF023442_1_1807_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
417;EF023442_1_1807_U_Amphifilaceae_X_sp;H;30;EF023442_1_1807_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
418;EF023658_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
419;EF023658_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
420;EF023658_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
421;EF023658_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen
422;EF023733_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
423;EF023733_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
424;EF023733_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
425;EF023733_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
426;EF023821_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
427;EF023821_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
428;EF023821_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
429;EF023821_1_1802_U_Amphifilaceae_X_sp;H;32;EF023338_1_1806_U_Amphifilaceae_X_sp;NA;NA;NA;trembling aspen rhizosphere under ambient CO2 conditions;NA;NA;terrestrial;soil;NA
430;EF100211_1_1573_U_Aplanochytrium_sp;H;106;AJ519935_1_1762_U_Aplanochytrium_stocchinoi;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
431;EF100239_1_1403_U_Labyrinthulaceae_ANT10_3_sp;S;432;EF100239_1_1403_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
432;EF100247_1_1403_U_Labyrinthulaceae_ANT10_3_sp;H;432;EF100239_1_1403_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
433;EF100252_1_1404_U_Oblongichytrium_sp;S;430;EF100252_1_1404_U_Oblongichytrium_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
434;EF100254_1_1366_U_Labyrinthula_sp;S;476;EF100254_1_1366_U_Labyrinthula_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
435;EF100267_1_1403_U_Labyrinthulaceae_ANT10_3_sp;S;433;EF100267_1_1403_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
436;EF100270_1_1404_U_Oblongichytrium_sp;H;397;OBEP010627194_1_1457_U_Oblongichytrium_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
437;EF100273_1_1341_U_Thraustochytriaceae_X_sp;S;496;EF100273_1_1341_U_Thraustochytriaceae_X_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
438;EF100295_1_1340_U_Labyrinthulomycetes_LAB6_sp;S;497;EF100295_1_1340_U_Labyrinthulomycetes_LAB6_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
439;EF100298_1_1339_U_Thraustochytriaceae_X_sp;S;498;EF100298_1_1339_U_Thraustochytriaceae_X_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
440;EF100308_1_1277_U_Labyrinthula_sp;S;521;EF100308_1_1277_U_Labyrinthula_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
441;EF100337_1_1454_U_Labyrinthulaceae_ANT10_3_sp;S;398;EF100337_1_1454_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
442;EF100352_1_1458_U_Labyrinthulomycetes_LAB4_X_sp;S;396;EF100352_1_1458_U_Labyrinthulomycetes_LAB4_X_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
443;EF100369_1_1214_U_Labyrinthula_sp;S;571;EF100369_1_1214_U_Labyrinthula_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
444;EF100392_1_1573_U_Labyrinthulaceae_ANT10_3_sp;S;314;EF100392_1_1573_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
445;EF100402_1_1317_U_Thraustochytrium_kinnei;H;18;L34668_1_1821_U_Thraustochytrium_kinnei;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
446;EF100415_1_1233_U_Labyrinthulaceae_ANT10_3_sp;H;433;EF100267_1_1403_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface;NA;NA;coastal;sediment;Protistan diversity at the top of the world
447;EF114347_1_1654_U_Thraustochytrium_caudivorum;H;268;EF114355_1_1655_U_Thraustochytrium_caudivorum;NA;NA;NA;NA;NA;NA;oceanic;platyhelminths;NA
448;EF114348_1_1654_U_Thraustochytrium_caudivorum;S;268;EF114348_1_1654_U_Thraustochytrium_caudivorum;NA;NA;NA;NA;NA;NA;oceanic;platyhelminths;NA
449;EF114349_1_1654_U_Thraustochytrium_caudivorum;H;268;EF114355_1_1655_U_Thraustochytrium_caudivorum;NA;NA;NA;NA;NA;NA;oceanic;platyhelminths;NA
450;EF114350_1_1655_U_Thraustochytrium_caudivorum;H;263;EF114353_1_1662_U_Thraustochytrium_caudivorum;NA;NA;NA;NA;NA;NA;oceanic;platyhelminths;NA
451;EF114351_1_1655_U_Thraustochytrium_caudivorum;H;263;EF114353_1_1662_U_Thraustochytrium_caudivorum;NA;NA;NA;NA;NA;NA;oceanic;platyhelminths;NA
452;EF114352_1_1646_U_Thraustochytrium_caudivorum;H;263;EF114353_1_1662_U_Thraustochytrium_caudivorum;NA;NA;NA;NA;NA;NA;oceanic;platyhelminths;NA
453;EF114353_1_1662_U_Thraustochytrium_caudivorum;S;263;EF114353_1_1662_U_Thraustochytrium_caudivorum;NA;NA;NA;NA;NA;NA;oceanic;platyhelminths;NA
454;EF114354_1_1662_U_Thraustochytrium_caudivorum;H;263;EF114353_1_1662_U_Thraustochytrium_caudivorum;NA;NA;NA;NA;NA;NA;oceanic;platyhelminths;NA
455;EF114355_1_1655_U_Thraustochytrium_caudivorum;S;268;EF114355_1_1655_U_Thraustochytrium_caudivorum;NA;NA;NA;NA;NA;NA;oceanic;platyhelminths;Thraustochytrids as novel parasitic protists of marine free-living flatworms: Thraustochytrium caudivorum sp. nov. parasitizes Macrostomum lignano
456;EF172979_1_1693_U_Labyrinthulomycetes_LAB7_X_sp;H;81;KF129615_1_1773_U_Labyrinthulomycetes_LAB7_X_sp;NA;NA;NA;"water sample collected at 25 m depth in the Sargasso Sea; water was prefiltered through a 2 micrometer filter (picoplanktonic size fraction samples)";NA;NA;oceanic;water;Vertical distribution of picoeukaryotic diversity in the Sargasso Sea
457;EF526957_1_1397_U_Oblongichytrium_sp;H;201;HQ228948_1_1714_U_Oblongichytrium_sp;NA;NA;NA;marine environment;NA;NA;coastal;water;Spatio-temporal variations in protistan communities along an O/HS gradient in the anoxic Framvaren Fjord (Norway)
458;EF526960_1_1460_U_Labyrinthulomycetes_LAB14_X_sp;S;394;EF526960_1_1460_U_Labyrinthulomycetes_LAB14_X_sp;NA;NA;NA;marine environment;NA;NA;coastal;water;Spatio-temporal variations in protistan communities along an O/HS gradient in the anoxic Framvaren Fjord (Norway)
459;EF539096_1_793_U_Thraustochytriaceae_LAB17_sp;S;719;EF539096_1_793_U_Thraustochytriaceae_LAB17_sp;marine, water;western Pacific coast;sea water;western Pacific coast;NA;NA;coastal;water;Genetic diversity of picoeukaryotes in a semi-enclosed harbour in the subtropical western Pacific
460;EF586082_1_818_U_Archerella_sp;H;414;OBEP011174846_1_1428_U_Archerella_sp;freshwater stream;New Zealand: Auckland, Opanuku Stream;stream biofilm;Opanuku Stream biofilm;NA;NA;freshwater river;biofilm;Molecular characterization of ciliate diversity in stream biofilms
461;EF659869_1_777_U_Labyrinthulaceae_X_sp;S;727;EF659869_1_777_U_Labyrinthulaceae_X_sp;microbial mat;Mexico: Baja California Sur, Guerrero Negro;hypersaline microbial mat;hypersaline microbial mat;NA;NA;coastal;biofilm;Eucaryotic diversity in a hypersaline microbial mat
462;EU147289_1_800_U_Fibrophrys_sp;S;714;EU147289_1_800_U_Fibrophrys_sp;NA;NA;NA;freshwater lake;NA;NA;freshwater lake;water;Genetic diversity of eukaryotic microorganisms in Lake Taihu, a large shallow subtropical lake in china
463;EU264109_1_850_U_Sicyoidochytrium_sp;S;683;EU264109_1_850_U_Sicyoidochytrium_sp;NA;NA;NA;NA;Indian Ocean;NA;oceanic;;NA
464;EU264110_1_538_U_Sicyoidochytrium_sp;S;938;EU264110_1_538_U_Sicyoidochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;corals;A new Thraustochytrid, strain Fng1, isolated from the surface mucus of the hermatypic coral Fungia granulosa
465;EU264111_1_629_U_Sicyoidochytrium_sp;S;845;EU264111_1_629_U_Sicyoidochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;corals;A new Thraustochytrid, strain Fng1, isolated from the surface mucus of the hermatypic coral Fungia granulosa
466;EU333029_1_800_U_Thraustochytrium_caudivorum;H;263;EF114353_1_1662_U_Thraustochytrium_caudivorum;NA;NA;NA;South China Sea;Pacific Ocean;NA;oceanic;water;Diversity and distribution of planktonic protists in the northern South China Sea
467;EU333039_1_800_U_Botryochytrium_sp;H;116;AB810986_1_1757_U_Botryochytrium_sp;NA;NA;NA;South China Sea;Pacific Ocean;NA;oceanic;water;Diversity and distribution of planktonic protists in the northern South China Sea
468;EU431329_1_1745_U_Labyrinthula_sp;S;134;EU431329_1_1745_U_Labyrinthula_sp;NA;NA;NA;NA;NA;NA;other;amoeba;Living together: the marine amoeba Thecamoeba hilla Schaeffer, 1926 and its endosymbiont Labyrinthula sp
469;EU431330_1_1745_U_Labyrinthula_sp;H;134;EU431329_1_1745_U_Labyrinthula_sp;NA;NA;NA;NA;NA;NA;other;amoeba;Living together: the marine amoeba Thecamoeba hilla Schaeffer, 1926 and its endosymbiont Labyrinthula sp
470;EU499996_1_695_U_Aplanochytrium_sp;H;488;EU851174_1_1353_U_Aplanochytrium_sp;marine, water;NA;ocean surface waters;ocean surface waters;NA;NA;oceanic;water;Use of stable isotope-labelled cells to identify active grazers of picocyanobacteria in ocean surface waters
471;EU500148_1_792_U_Labyrinthulomycetes_LAB14_X_sp;S;720;EU500148_1_792_U_Labyrinthulomycetes_LAB14_X_sp;NA;NA;NA;ocean surface waters;NA;NA;oceanic;water;Use of stable isotope-labelled cells to identify active grazers of picocyanobacteria in ocean surface waters
472;EU500149_1_816_U_Labyrinthulomycetes_LAB14_X_sp;H;559;asv_393_29520_Labyrinthulomycetes_LAB14_X_sp_7;marine, water;NA;ocean surface waters;ocean surface waters;NA;NA;oceanic;water;Use of stable isotope-labelled cells to identify active grazers of picocyanobacteria in ocean surface waters
473;EU500150_1_816_U_Labyrinthulomycetes_LAB14_X_sp;H;559;asv_393_29520_Labyrinthulomycetes_LAB14_X_sp_7;marine, water;NA;ocean surface waters;ocean surface waters;NA;NA;oceanic;water;Use of stable isotope-labelled cells to identify active grazers of picocyanobacteria in ocean surface waters
474;EU528045_1_603_U_Labyrinthulaceae_ANT10_3_sp;S;863;EU528045_1_603_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;peach root;NA;NA;terrestrial;roots;Investigations into peach seedling stunting caused by a replant soil
475;EU528046_1_589_U_Aplanochytrium_blankum;S;873;EU528046_1_589_U_Aplanochytrium_blankum;NA;NA;NA;peach root;NA;NA;terrestrial;roots;Investigations into peach seedling stunting caused by a replant soil
476;EU561675_1_900_U_Labyrinthulomycetes_LAB7_X_sp;H;85;KF129825_1_1772_U_Labyrinthulomycetes_LAB7_X_sp;NA;NA;NA;"ocean water; 5m depth";Indian Ocean;35.05 S 23.73 E;oceanic;water;Protistan assemblages across the Indian Ocean, with a specific emphasis on the picoeukaryotes
477;EU561786_1_926_U_Labyrinthulomycetes_LAB7_X_sp;H;81;KF129615_1_1773_U_Labyrinthulomycetes_LAB7_X_sp;NA;NA;NA;"ocean water; 5m depth";Indian Ocean;NA;oceanic;water;Protistan assemblages across the Indian Ocean, with a specific emphasis on the picoeukaryotes
